Br aaa
O=C1N[CH]c2cn[nH]c21 afE
O=C1N[CH]c2cnc(=O)cc21 afF
O=C1Nc2cc3c(cc2C1=O)sc1ccccc13 afG
O=C1Nc2cccc3cccc1c23 afH
O=C1Nc2ccccc2C(=O)N2CCNCC12 afI
O=C1Nc2ccccc2C(=O)N2CC[CH]C12 afJ
O=C1Nc2ccccc2C(=O)N2CC[CH]CC12 afK
O=C1Nc2ccccc2C(=O)N2C[CH]CC12 afL
O=C1Nc2ccccc2C12C=COc1[nH]ncc12 afM
O=C1Nc2ccccc2C12Nc1ccccc1S2 afN
O=C1Nc2ccccc2C12OCCO2 afO
O=C1Nc2ccccc2C12OC[CH]CO2 afP
O=C1Nc2ccccc2C12O[CH]CO2 afQ
O=C1Nc2ccccc2C12O[CH][CH]O2 afR
O=C1Nc2ccccc2C12[CH]CC=CC2 afS
O=C1Nc2ccccc2C1=O afT
O=C1Nc2ccccc2C1=c1cn2c(s1)=NCC2 afU
O=C1Nc2ccccc2N2CCCC12 afV
O=C1Nc2ccccc2Nc2ncncc21 afW
O=C1Nc2ccccc2Oc2ccccc21 afX
O=C1Nc2ccccc2Oc2ncccc21 afY
O=C1Nc2ccccc2S(=O)(=O)N1 afZ
O=C1Nc2ccccc2S(=O)(=O)c2ccccc21 aga
O=C1Nc2ccccc2Sc2occc21 agb
O=C1Nc2cccnc2Nc2ncccc21 agc
O=C1OC2CC3[CH]C1C2C3 agd
O=C1OC2[CH]C1CC2 age
O=C1OC2c3ccccc3C(=O)N2c2ccccc21 agf
O=C1OC=NC1=C1OCc2ccccc21 agg
O=C1OCC2=C1[CH]C1=C(COC1=O)N2 agh
O=C1OCC2=C1[CH]c1c(nc(=O)[nH]c1=O)N2 agi
O=C1OCC2=C1[CH]c1c(nc(=O)nc1=O)N2 agj
O=C1OCC2C3OC(c4cc5ccccc5cc43)C12 agk
O=C1OCc2cc(=O)ccn2-c2ccccc21 agl
O=C1OCc2ccccc21 agm
O=C1O[CH]Cc2ccccc21 agn
O=C1O[CH]Nc2ccccc21 ago
O=C1O[CH]OC(=O)C12CNc1ccccc1C2 agp
O=C1O[CH]OC(=O)C12Cc1ccccc1N1CCCCC12 agq
O=C1O[CH]c2c1c(=O)cc1n2CCc2ccccc2-1 agr
O=C1O[CH]c2cc3c(cc21)OCO3 ags
O=C1O[CH]c2ccccc21 agt
O=C1[CH]C(=O)CCC1 agu
O=C1[CH]C(=O)N2C=CC=CC2=N1 agv
O=C1[CH]C(=O)NC1 agw
O=C1[CH]C(=O)c2ccccc2N1 agx
O=C1[CH]C23[CH]CC4OC(=O)CC42C(=O)OC3O1 agy
O=C1[CH]C2C=CC1c1ccccc12 agz
O=C1[CH]C2CC(N1)Oc1ccccc12 agA
O=C1[CH]C2CCC1C2 agB
O=C1[CH]C2Nc3ccccc3NC2N1 agC
O=C1[CH]C=CN1 agD
O=C1[CH]C=CO1 agE
O=C1[CH]C=C[CH]N1 agF
O=C1[CH]C=Nc2ccccc2N1 agG
O=C1[CH]CC2(CC1)Cc1ccccc1C2=O agH
O=C1[CH]CC2(CC1)OCCCCO2 agI
O=C1[CH]CC2C(=O)Nc3ccccc3C2O1 agJ
O=C1[CH]CCC1 agK
O=C1[CH]CCCC1 agL
O=C1[CH]CCCCC1 agM
O=C1[CH]CCCCN1 agN
O=C1[CH]CCCN1 agO
O=C1[CH]CCO1 agP
O=C1[CH]CCc2ccccc21 agQ
O=C1[CH]CN1 agR
O=C1[CH]CNC1=O agS
O=C1[CH]CO[CH]C1 agT
O=C1[CH]COc2ccccc2N1 agU
O=C1[CH]CSc2ccccc2N1 agV
O=C1[CH]C[CH]N1 agW
O=C1[CH]C[CH]O1 agX
O=C1[CH]Cc2ccccc2O1 agY
O=C1[CH]N=CN1 agZ
O=C1[CH]N=CO1 aha
O=C1[CH]N=Cc2ccccc2N1 ahb
O=C1[CH]NC(=O)[CH]N1 ahc
O=C1[CH]NCCN1 ahd
O=C1[CH]NS(=O)(=O)N1 ahe
O=C1[CH]Nc2ccccc2N1 ahf
O=C1[CH]Nc2nc3ccccc3n21 ahg
O=C1[CH]OCCN1 ahh
O=C1[CH]O[CH]CC1 ahi
